file_name,unique_file,path,species,label,subset
Roeselianaroeselii_XC751814-dat028-019_edit1.wav,Roeselianaroeselii_XC751814-dat028-019,data/train/Roeselianaroeselii_XC751814-dat028-019_edit1.wav,Roeselianaroeselii,0,train
Roeselianaroeselii_XC752367-dat006-010.wav,Roeselianaroeselii_XC752367-dat006-010,data/train/Roeselianaroeselii_XC752367-dat006-010.wav,Roeselianaroeselii,0,train
Yoyettacelis_GBIF2465208563_IN36000894_50988.wav,Yoyettacelis_GBIF2465208563_IN36000894_50988,data/train/Yoyettacelis_GBIF2465208563_IN36000894_50988.wav,Yoyettacelis,1,train
Gomphocerippusrufus_XC752285-dat001-045.wav,Gomphocerippusrufus_XC752285-dat001-045,data/train/Gomphocerippusrufus_XC752285-dat001-045.wav,Gomphocerippusrufus,2,train
Atrapsaltacorticina_GBIF2901504947_IN62966536_143690.wav,Atrapsaltacorticina_GBIF2901504947_IN62966536_143690,data/val/Atrapsaltacorticina_GBIF2901504947_IN62966536_143690.wav,Atrapsaltacorticina,3,validation
Chorthippusalbomarginatus_XC751395-dat022-012_edit2.wav,Chorthippusalbomarginatus_XC751395-dat022-012,data/test/Chorthippusalbomarginatus_XC751395-dat022-012_edit2.wav,Chorthippusalbomarginatus,4,test
Phaneropteranana_XC755717-221013-Phaneroptera-nana-Spontangesang-FH-1918-14°C_edit4.wav,Phaneropteranana_XC755717-221013-Phaneroptera-nana-Spontangesang-FH-1918-14°C,data/train/Phaneropteranana_XC755717-221013-Phaneroptera-nana-Spontangesang-FH-1918-14°C_edit4.wav,Phaneropteranana,5,train
Eupholidopteraschmidti_XC752430-dat051-014_edit1.wav,Eupholidopteraschmidti_XC752430-dat051-014,data/train/Eupholidopteraschmidti_XC752430-dat051-014_edit1.wav,Eupholidopteraschmidti,6,train
Chorthippusapricarius_XC752128-dat028-008_edit4.wav,Chorthippusapricarius_XC752128-dat028-008,data/train/Chorthippusapricarius_XC752128-dat028-008_edit4.wav,Chorthippusapricarius,7,train
Pholidopteraaptera_XC751363-dat145-003_edit3.wav,Pholidopteraaptera_XC751363-dat145-003,data/train/Pholidopteraaptera_XC751363-dat145-003_edit3.wav,Pholidopteraaptera,8,train
